Model,Dataset,Features,Outliers,BA_mean,BA_std,F1_mean,F1_std,n_folds
SVM,A,All features,With outliers,0.714,0.369,0.596,0.387,32
LR,A,All features,With outliers,0.69,0.358,0.575,0.376,32
RF,A,All features,With outliers,0.745,0.368,0.655,0.393,32
HGB,A,All features,With outliers,0.74,0.373,0.653,0.393,32
SVM,A,Jitter+Shimmer,With outliers,0.619,0.418,0.565,0.426,32
LR,A,Jitter+Shimmer,With outliers,0.656,0.392,0.604,0.41,32
RF,A,Jitter+Shimmer,With outliers,0.684,0.345,0.593,0.376,32
HGB,A,Jitter+Shimmer,With outliers,0.685,0.297,0.573,0.342,32
SVM,A,All features,Without outliers,0.648,0.409,0.542,0.409,30
LR,A,All features,Without outliers,0.668,0.363,0.546,0.372,30
RF,A,All features,Without outliers,0.723,0.379,0.629,0.397,30
HGB,A,All features,Without outliers,0.756,0.37,0.677,0.392,30
SVM,A,Jitter+Shimmer,Without outliers,0.637,0.384,0.546,0.395,30
LR,A,Jitter+Shimmer,Without outliers,0.621,0.384,0.506,0.38,30
RF,A,Jitter+Shimmer,Without outliers,0.691,0.353,0.609,0.384,30
HGB,A,Jitter+Shimmer,Without outliers,0.598,0.357,0.505,0.369,30
SVM,B,All features,With outliers,0.674,0.39,0.577,0.4,32
LR,B,All features,With outliers,0.71,0.357,0.599,0.378,32
RF,B,All features,With outliers,0.709,0.382,0.623,0.402,32
HGB,B,All features,With outliers,0.725,0.37,0.616,0.388,32
SVM,B,Jitter+Shimmer,With outliers,0.621,0.417,0.55,0.421,32
LR,B,Jitter+Shimmer,With outliers,0.642,0.397,0.581,0.412,32
RF,B,Jitter+Shimmer,With outliers,0.654,0.36,0.563,0.38,32
HGB,B,Jitter+Shimmer,With outliers,0.659,0.355,0.582,0.383,32
SVM,B,All features,Without outliers,0.647,0.401,0.561,0.411,30
LR,B,All features,Without outliers,0.692,0.361,0.573,0.375,30
RF,B,All features,Without outliers,0.711,0.367,0.611,0.388,30
HGB,B,All features,Without outliers,0.751,0.375,0.674,0.395,30
SVM,B,Jitter+Shimmer,Without outliers,0.626,0.397,0.555,0.411,30
LR,B,Jitter+Shimmer,Without outliers,0.611,0.379,0.522,0.384,30
RF,B,Jitter+Shimmer,Without outliers,0.662,0.362,0.561,0.381,30
HGB,B,Jitter+Shimmer,Without outliers,0.691,0.326,0.581,0.36,30
