Model,Dataset,Features,BA_mean,BA_std,F1_mean,F1_std,n_folds
SVM,A,All features,0.714,0.369,0.596,0.387,32
LR,A,All features,0.69,0.358,0.575,0.376,32
RF,A,All features,0.745,0.368,0.655,0.393,32
HGB,A,All features,0.74,0.373,0.653,0.393,32
SVM,A,Jitter+Shimmer,0.619,0.418,0.565,0.426,32
LR,A,Jitter+Shimmer,0.656,0.392,0.604,0.41,32
RF,A,Jitter+Shimmer,0.684,0.345,0.593,0.376,32
HGB,A,Jitter+Shimmer,0.685,0.297,0.573,0.342,32
SVM,B,All features,0.674,0.39,0.577,0.4,32
LR,B,All features,0.71,0.357,0.599,0.378,32
RF,B,All features,0.709,0.382,0.623,0.402,32
HGB,B,All features,0.725,0.37,0.616,0.388,32
SVM,B,Jitter+Shimmer,0.621,0.417,0.55,0.421,32
LR,B,Jitter+Shimmer,0.642,0.397,0.581,0.412,32
RF,B,Jitter+Shimmer,0.654,0.36,0.563,0.38,32
HGB,B,Jitter+Shimmer,0.659,0.355,0.582,0.383,32
